PROBLEMÁTICA,OBJETIVO MACRO,NIVEL,NOMBRE DE LA ESTRATEGIA,OBJETIVO DE LA ESTRATEGIA,INDICADOR  DE GESTIÓN SUGERIDO,INDICADOR DE IMPACTO SUGERIDO,ACCIONES,RESPONSABLES,NOTAS PARA LA IMPLEMENTACIÓN
Homicidio,Prevenir y reducir los homicidios en el municipio,Control,,Intensificar el control al porte de armas en el municipio,"# de registros realizados semanalmente, en las zonas, horarios y días de la semana identificados como críticos.

# de puestos de control realizados semanalmente.",,"*Efectuar puestos de control en lugares de entrada y salida del municipio, así como en los lugares de mayor concentración de homicidio, de manera periódica, en los que se realicen registros a vehículos y motocicletas.

* Intensificar los registros a persona en los lugares de concentración del homicidio, así como en lugares de alta afluencia y entradas y salidas del municipio, con el fin de identificar armas blancas o de fuego portadas de manera ilegal.

* Concentrar los puestos de control y registros en las zonas, horas y días de la semana identificados como más críticos para el homicidio en el municipio.
","Alcalde, Secretaría de Gobierno, Policía Nacional",
Homicidio,Prevenir y reducir los homicidios en el municipio,Control,,"Identificar, caracterizar y atender los puntos críticos de homicidio en el municipio","#de puntos críticos identificados, caracterizados y atendidos por año.

",,"*En el marco del Consejo de Seguridad y Convivencia Municipal, coordinar con la Policía Nacional las siguientes acciones:

* Identificación: 

1. Recopilar y georreferenciar el comportamiento del homicidio en los últimos cinco años, con datos provenientes de la Policía Nacional.
2. Adquirir un software de información geográfica, y con el, construir mapas de densidad o concentración del delito año por año, y superponerlos en un mapa del total de los cinco años.
3. Aquellas zonas donde a lo largo de esos años persiste el delito, son los puntos críticos municipales.

Caracterización:

1. A través de observación en terreno, entrevistas y grupos focales, caracterizar los puntos críticos identificados, con el fin de describir y comprender cuáles son las circunstancias físicas o sociales que contribuyen a la concentración del homicidio en esos lugares.
2. Identificar cuáles son las características comunes de los puntos críticos, para entender sus dinámicas criminales y poder definir si dos o más puntos en realidad deben ser atendidos por una misma estrategia. Es decir, si en realidad se trata de un punto crítico en lugar de dos o tres.
3. Precisar los lugares donde se concentra el delito, y establecer con precisión las horas y los días donde más se presenta.

*Atención:

1. Concentrar las estrategias de prevención y control del homicidio en los puntos identificados y caracterizados.
2. Disponer, junto con la policía, de presencia policial en los puntos críticos de manera constante.","Alcalde, Secretaría de Gobierno, Policía Nacional",
Homicidio,Prevenir y reducir los homicidios en el municipio,Prevención social,,Generar procesos de inclusión social y cultural de jóvenes en riesgo.,"# de campañas implementadas.

# de propietarios y administradores de establecimientos sensibilizados",,"*Construir un mapa de actores de organizaciones sociales,  culturales, deportivas y políticas de jóvenes en el municipio, y conocer sus experiencias.

* Generar mesas de diálogo y de trabajo conjunto con jóvenes del municipio con jóvenes de zonas urbanas y rurales del municipio.

*Realizar actividades culturales y deportivas que incluyan a los jóvenes en la vida municipal, tanto en el casco urbano como en las zonas rurales.

*Promover el acceso de jóvenes a la educación, empleabilidad y emprendimiento, mediante alianzas con el sector privado.

*Coordinar con la Secretaría de Educación, acciones para garantizar la permanencia escolar de jóvenes del municipio.","Alcalde, Secretaría de Integración o Desarrollo Social, Secretaría de Educación, Secretaría de Cultura",
Homicidio,Prevenir y reducir los homicidios en el municipio,Sanción y judicialización,,Apoyo para el mejoramiento de las capacidades de investigación criminal por parte de la Policía Nacional y la Fiscalía General de la Nación,"# de Consejos municipales adelantados al año.

# de recursos técnicos y tecnológicos invertidos para el mejoramiento de la investigación.",,"* Identificar las necesidades que existen para el mejoramiento de la investigación criminal en el municipio.

* Invertir recursos en el mejoramiento de las capacidades técnicas y tecnológicas de las unidades de investigación criminal que hacen presencia en el municipio, con el fin de esclarecer los motivos y características de los homicidios que se presentan en la jurisdicción.

*Articular, a través del Consejo de Seguridad y Convivencia, los esfuerzos de la seccional de Fiscalía, SIJIN, UBIC y la alcaldía municipal, bajo el liderazgo del alcalde. ","Alcalde, Secretaría de Gobierno, Policía Nacional",
Homicidio,Prevenir y reducir los homicidios en el municipio,Prevención social,,Fortalecer los procesos de mediación y resolución pacífica de conflictos.,"# de instalaciones adecuadas.

# de procesos de formación y capacitación adelantados.

# de uniformados de la Policía Nacional capacitados en mediación policial.

# de asesorías prestadas en zonas rurales del municipio..",,"*Mejorar las instalaciones de las instancias que ofrecen servicios de resolución pacífica de conflictos, como las Comisarías de Familia, Inspecciones de Policía, Juzgados de Paz, y otros no formales, para ampliar su capacidad de mediar y conciliar en conflictos.

*Mejorar las capacidades de los funcionarios de estas instancias, a través de la capacitación en resolución pacífica de conflictos y herramientas para ello, priorizando aquellos que trabajan en zonas rurales del municipio.

*Realizar visitas periódicas de la Comisaría de Familia a las veredas y corregimientos del municipio, ofreciendo servicios de mediación permanente para comunidades rurales.

*Capacitar a uniformados de policía encargados de los procesos de mediación policial, medio reglamentado por el Código Nacional de Policía.","Alcalde, Secretaría de Gobierno, Policía Nacional
Comisaría de Familia.",
Homicidio,Prevenir y reducir los homicidios en el municipio,Control,,Conocer y articular la oferta departamental y nacional en materia de lucha contra el crimen organizado.,"# de Consejos municipales adelantados al año.

# de mesas de trabajo con alcaldes adelantadas.

# de medios logísticos y tecnológicos de la fuerza pública mejorados.",,"* Convocar y liderar los Consejos municipales de Seguridad y Convivencia de manera mensual, con presencia de todos los actores que intervienen en el municipio: Estación municipal de Policía, Unidad Básica de Inteligencia, Unidad Básica de Investigación Criminal, Unidad Básica de Carabineros, Comandante de Distrito de Policía, Ejército Nacional, Seccionales y unidades de Fiscalía, y demás entidades pertinentes.

*Promover y gestionar reuniones y mesas de trabajo con alcaldes de municipios circunvecinos, con el fin de coordinar estrategias en materia de lucha contra el crimen organizado.

*Preparar informes periódicos para presentar en el Consejo Departamental de Seguridad y Convivencia, con el fin de optimizar los recursos de manera estratégica en la lucha contra el crimen organizado.

*Orientar recursos para la dotación de medios logísticos y tecnológicos para la fuerza pública.","Alcalde, Secretaría de Gobierno, Policía Nacional, Ejército Nacional, Inspección de Policía, Seccional de Fiscalía.",
Homicidio,Prevenir y reducir los homicidios en el municipio,Prevención situacional,,"Fomentar cultura de paz, reconciliación y convivencia en el municipio.","# de actividades implementadas.
",,"* Diseñar e implementar una estrategia de comunicación de promoción de cultura de paz y no violencia en el municipio.

*Adelantar actividades de apropiación de espacios públicos por parte de comunidades, familias y comunidad educativa.

* Propiciar mesas de diálogo entre pandillas, parches, barras futboleras y otros grupos juveniles, que permita avanzar hacia pactos de no agresión.

* Diseñar e implementar actividades en espacios públicos, donde se difundan mensajes de paz y reconciliación.

* Implementar la cátedra de paz en las instituciones educativas del municipio.","Alcalde, Secretaría de Gobierno., Secretaría de Educación, Secretaría de Cultura, Policía Nacional",
Homicidio,Prevenir y reducir los homicidios en el municipio,Control,,"Identificar las poblaciones en mayor riesgo de homicidio en razón de su actividad comunitaria y política, y articular las acciones necesarias con otras instituciones y entidades del Estado.",# de informes de la situación de derechos humanos de líderes sociales analizados de manera mensual en los Consejos de Seguridad. ,,"* Construir un mapeo de organizaciones y líderes sociales en riesgo.

* Identificar las circunstancias, contextos territoriales, dinámicas organizacionales y amenazas que se presentan sobre líderes en riesgo, en el marco del Consejo municipal de Seguridad y Convivencia.

* Abordar, como temática específica en los Consejos de Seguridad, la situación actualizada de las amenazas contra líderes sociales, como medida de prevención temprana, y realizar allí seguimiento y monitoreo a la situación, a través del diálogo constante con Inspectores de Policía y Corregidores.

* Propiciar escenarios de diálogo y comunicación constante entre el gobierno municipal y las organizaciones sociales, con el fin de estar al tanto de la situación de seguridad de líderes sociales, y fortalecer las medidas de prevención y detección temprana. 

*Activar las medidas de protección establecidas en la ley cuando sea necesario.

*Mantener comunicación constante con Inspectores de Policía, Corregidores y el Gobierno Nacional, con el fin de activar las rutas de protección individual o colectiva y la detección temprana de situaciones de riesgo.

* Activar los medios de policía que el Código Nacional de Policía les otorga ante casos de urgencia.

* Implementar un sistema de control y seguimiento a todas las acciones aquí descritas.

*Disponer de las capacidades de las estaciones, subestaciones y CAI del municipio, para proteger líderes sociales en los ámbitos urbano y rural.

*Abrir canales de denuncia anónima que permite activar rutas de protección cuando esto sea necesario.

*Disponer recursos en favor de las labores de inteligencia e investigación criminal para el esclarecimiento de crímenes, así como la prevención de los mismos.

","Secretaría de Gobierno, Alcalde, Policía Nacional
Inspectores de Policía, Corregidores",
Homicidio,Prevenir y reducir los homicidios en el municipio,Control,,Mejorar la capacidad de respuesta de la Policía Nacional,Reducción de tiempos de respuesta de la atención de la Policía Nacional.,,"* Identificar las necesidades de medios logísticos, de transporte y tecnológicos, del personal de la Policía Nacional presente en el municipio.

* Adquirir los medios posibles para fortalecer la capacidad de respuesta de la Policía Nacional.

* Destinar los recursos necesarios para el mantenimiento de los medios existentes.

* Realizar, en el marco del Consejo municipal de Seguridad y Convivencia, control y seguimiento a la inversión de los recursos orientados a la adquisición y mantenimiento de bienes de la Policía Nacional.

*Realizar, en el marco el Consejo municipal de Seguridad y Convivencia, un estudio de los tiempos de respuesta de la Policía Nacional ante los llamados de la comunidad.","Alcalde, Secretaría de Gobierno, Policía Nacional.",
Homicidio,Prevenir y reducir los homicidios en el municipio,Control,,Adecuar las instancias de planeación municipal para facilitar la coordinación interinstitucional en la lucha contra el homicidio.,No de instancias de planeación ajustadas,,"*Liderar, desde el Consejo municipal de Seguridad y Convivencia, la articulación de las acciones necesarias para el combate contra las estructuras criminales, que implementa la Fuerza Pública.

* Diseñar una estrategia de gestión de recursos para la dotación de la Fuerza Pública y de los órganos encargados de investigación e inteligencia en el municipio.

*Propender por la cooperación con municipios circunvecinos y la gobernación del departamento, con el fin de contar con estrategias unificadas y coordinadas.

*Definir mecanismos de coordinación con los jueces, para garantizar la judicialización y el combate contra la impunidad.","Alcalde, Secretaría de Gobierno, Fuerza Pública",
Hurto a comercio,Prevenir y reducir los hurtos a comercio en el municipio,Prevención situacional,,Disuadir a posibles delincuentes de cometer hurtos.,"# de redes de apoyo conformadas y funcionando.

# de patrullajes y puestos de control realizados en las zonas de alta concentración de comercio.

# de campañas comunicativas para sensibilización de empresarios.",,"* Conformar y fortalecer las redes de apoyo y comunicaciones entre los administradores, propietarios de establecimientos de comercio, seguridad privada y Policía Nacional, con mecanismos de comunicación directa y permanente.

* Fomentar en los comerciantes la instalación de cámaras de seguridad, rejas de protección, vidrios de seguridad y cualquier otro elemento que dificulta la acción delincuencial.

* Intensificar el patrullaje en las zonas de alta concentración de comercio en el municipio, así como puestos de control y registros a personas.","Alcalde, secretaría de Gobierno, Policía Nacional",
Hurto a comercio,Prevenir y reducir los hurtos a comercio en el municipio,Fortalecimiento comunitario,,Generar alianzas con el sector privado para la prevención del hurto a comercio.,# de alianzas con el sector privado generadas.,,"* Identificar y mapear al sector privado presente en el municipio, a partir del trabajo que adelantan las Cámaras de Comercio.

* Identificar las necesidades e intereses del sector privado (comercial e industrial) del municipio, que pueden favorecer las condiciones de seguridad y convivencia.

* Gestionar alianzas, a través de convenios, acuerdos y otras formas, para sumar recursos que permitan prevenir el hurto a comercio en el municipio.

*Invitar a la Cámara de Comercio y a representantes de sector, a los Consejos de Seguridad y Convivencia municipales, con el fin de consolidar las alianzas y generar estrategias conjuntas que impacten la problemática.","Alcalde, Secretaría de Gobierno, Secretaría de Desarrollo Económico, Policía Nacional",
Hurto a comercio,Prevenir y reducir los hurtos a comercio en el municipio,Control,,Facilitar la implementación del Modelo Nacional de Vigilancia Comunitaria por Cuadrantes,"Reducción de tiempos de respuesta de la atención de la Policía Nacional.

Recursos y medios optimizados o adquiridos para el mejoramiento en la implementación del Modelo.

# de patrullajes y visitas realizadas por la Policía Nacional a zonas rurales del municipio.",,"*Acompañar y facilitar a la Policía Nacional en la recolección de información para el diagnóstico de seguridad y convivencia en el territorio.

*Mejorar las capacidades técnicas y tecnológicas de la Policía

*Coordinar con la Policía Nacional el patrullaje en zonas rurales, veredas y corregimientos, con el fin de acercar el servicio de Policía a comunidades rurales.

*Garantizar los principios de complementariedad y polifuncionalidad del MNVCC, mediante la capacitación permanente de los uniformados y el liderazgo constante del gobierno municipal.

*Identificar, junto con la Policía Nacional, las necesidades existentes para la implementación del modelo, y suplirlas con los recursos disponibles

* Solicitar informes periódicos, en el marco del Consejo Municipal de Seguridad y Convivencia, sobre la implementación metodológica del MNVCC en la jurisdicción.","Alcalde, Secretaría de Gobierno, Policía Nacional",
Hurto a comercio,Prevenir y reducir los hurtos a comercio en el municipio,Control,,Mejorar la capacidad de respuesta de la Policía Nacional,"Reducción de tiempos de respuesta de la atención de la Policía Nacional.
",,"* Identificar las necesidades de medios logísticos, de transporte y tecnológicos, del personal de la Policía Nacional presente en el municipio.

* Adquirir los medios posibles para fortalecer la capacidad de respuesta de la Policía Nacional.

* Destinar los recursos necesarios para el mantenimiento de los medios existentes.

* Realizar, en el marco del Consejo municipal de Seguridad y Convivencia, control y seguimiento a la inversión de los recursos orientados a la adquisición y mantenimiento de bienes de la Policía Nacional.

*Realizar, en el marco el Consejo municipal de Seguridad y Convivencia, un estudio de los tiempos de respuesta de la Policía Nacional ante los llamados de la comunidad.","Alcalde, Secretaría de Gobierno, Policía Nacional",
Hurto a comercio,Prevenir y reducir los hurtos a comercio en el municipio,Sanción y judicialización,,Fortalecer las capacidades de inteligencia e investigación criminal con las que cuenta el municipio.,"# de recursos optimizados o adquiridos para el mejoramiento de los procesos técnicos.

# de estrategias construidas para la desarticulación de bandas dedicadas al hurto.",,"*Identificar las necesidades que tiene el municipio en materia de investigación criminal e inteligencia para la desarticulación de bandas delincuenciales y la judicialización de sus comportamientos, en coordinación con la Policía Nacional y la seccional de Fiscalía.

*Invertir recursos necesarios para superar las brechas existentes.

*Coordinar, en el marco del Consejo municipal de Seguridad y Convivencia, la gestión de la información de las bases de datos con las que cuente el municipio, bajo el liderazgo de la alcaldía municipal.

*Construir una estrategia conjunta con la Policía Nacional y la Fiscalía para optimizar los servicios de inteligencia e investigación criminal correspondientes a las necesidades del municipio, desde el Consejo municipal de Seguridad y Convivencia. Así mismo, gestionar desde este escenario la presencia de las Unidades Básicas y las Seccionales de Policía y Fiscalía.

*Coordinar con municipios circunvecinos y la gobernación del departamento, estrategias para la desarticulación de bandas delincuenciales dedicadas al hurto en todas sus modalidades.","* Secretaría de Gobierno, Alcalde, Policía Nacional, Seccional de Fiscalía, Unidades Básicas y Seccionales de Policía",
Hurto a comercio,Prevenir y reducir los hurtos a comercio en el municipio,Sanción y judicialización,,Fomentar la denuncia del delito,#de estrategias comunicativas implementadas,,"* Construir una estrategia comunicativa para el fomento de la denuncia por los distintos canales establecidos, en zonas urbanas y rurales.

*Implementar casas de justicia móviles, que lleguen a veredas de manera itinerante, de manera que la ciudadanía rural pueda denunciar fácilmente.

*Facilitar el acceso a la denuncia.","Alcalde, Secretaría de Gobierno",
Hurto a personas,Prevenir y reducir los hurtos a personas en el municipio,Control,,"Identificación, caracterización y atención de puntos críticos de hurto en el municipio.","# de puntos críticos identificados, caracterizados y atendidos.",,"*En el marco del Consejo de Seguridad y Convivencia Municipal, coordinar con la Policía Nacional las siguientes acciones:

* Identificación: 

1. Recopilar y georreferenciar el comportamiento del hurto en los últimos cinco años, con datos provenientes de la Policía Nacional.
2. Adquirir un software de información geográfica, y con el, construir mapas de densidad o concentración del delito año por año, y superponerlos en un mapa del total de los cinco años.
3. Aquellas zonas donde a lo largo de esos años persiste el delito, son los puntos críticos municipales.

Caracterización:

1. A través de observación en terreno, entrevistas y grupos focales, caracterizar los puntos críticos identificados, con el fin de describir y comprender cuáles son las circunstancias físicas o sociales que contribuyen a la concentración del hurto en esos lugares.
2. Identificar cuáles son las características comunes de los puntos críticos, para entender sus dinámicas criminales y poder definir si dos o más puntos en realidad deben ser atendidos por una misma estrategia. Es decir, si en realidad se trata de un punto crítico en lugar de dos o tres.
3. Precisar los lugares donde se concentra el delito, y establecer con precisión las horas y los días donde más se presenta.

*Atención:

1. Concentrar las estrategias de prevención y control del homicidio en los puntos identificados y caracterizados.
2. Disponer, junto con la policía, de presencia policial en los puntos críticos de manera constante.","Alcalde, Secretaría de Gobierno, Policía Nacional",
Hurto a personas,Prevenir y reducir los hurtos a personas en el municipio,Prevención situacional,,Disuadir a posibles delincuentes de cometer hurtos.,# de cámaras instaladas y en funcionamiento,,"* Instalación de cámaras de video vigilancia en puntos estratégicos de concentración del hurto en el municipio, y definir con la Policía Nacional los mecanismos para su supervisión.

* Creación de frentes comunitarios de seguridad, con alarmas comunitarias.

* Optimizar los medios y canales de comunicación de las comunidades con la Policía Nacional. ","Alcalde, Secretaría de Gobierno, Policía Nacional",
Hurto a personas,Prevenir y reducir los hurtos a personas en el municipio,Control,,Mejorar la capacidad de respuesta de la Policía Nacional,"Reducción de tiempos de respuesta de la atención de la Policía Nacional.
",,"* Identificar las necesidades de medios logísticos, de transporte y tecnológicos, del personal de la Policía Nacional presente en el municipio.

* Adquirir los medios posibles para fortalecer la capacidad de respuesta de la Policía Nacional.

* Destinar los recursos necesarios para el mantenimiento de los medios existentes.

* Realizar, en el marco del Consejo municipal de Seguridad y Convivencia, control y seguimiento a la inversión de los recursos orientados a la adquisición y mantenimiento de bienes de la Policía Nacional.

*Realizar, en el marco el Consejo municipal de Seguridad y Convivencia, un estudio de los tiempos de respuesta de la Policía Nacional ante los llamados de la comunidad.","Alcalde, Secretaría de Gobierno, Policía Nacional",
Hurto a personas,Prevenir y reducir los hurtos a personas en el municipio,Prevención situacional,,Mejorar los entornos de los lugares donde se concentra el delito de hurto a personas,# de espacios públicos recuperados e iluminados.,,"*Mejorar la iluminación pública en los lugares de concentración del hurto en el municipio.

*Promover cultura ciudadana para el manejo de los residuos sólidos que generan las personas y hogares, a través de estrategias comunicativas.

*Recuperar físicamente parques, andenes y lugares de concentración del hurto, con el fin de desestimular la comisión de ese delito.","Alcalde,  Secretaría de Gobierno, Secretaría de Infraestructura o Espacio Público., Policía Nacional",
Hurto a personas,Prevenir y reducir los hurtos a personas en el municipio,Prevención situacional,,Promover la autoprotección de los habitantes del municipio.,# de campañas adelantadas.,,"* Realizar campañas comunicativas para que las personas adquieran hábitos de protección de sus pertenencias en el uso del espacio público.

* Capacitaciones a la ciudadanía sobre las modalidades de hurto existentes.","Alcalde, Secretaría de Gobierno, Policía Nacional.",
Hurto a personas,Prevenir y reducir los hurtos a personas en el municipio,Control,,Controlar el comercio de bienes hurtados.,"# de controles realizados a establecimientos comerciales.

# de estrategias de comunicación adelantadas.

# de mesas de trabajo con comerciantes realizadas.",,"* Gestionar información de inteligencia sobre los bienes robados y sus lugares de comercialización, en coordinación con la Policía Nacional, SIPOL y UBI.

*Intervenir lugares de comercialización de bienes hurtados.

* Realizar controles periódicos a establecimientos de comercio de bienes usados.

* Construir estrategias conjuntas con la gobernación del departamento, para la gestión de información sobre cadenas de suministro de bienes hurtados hacia capitales.

* Diseñar e implementar campañas de comunicación dirigidas a la ciudadanía, con el fin de desestimular la compra y venta de bienes hurtados.

*Adelantar mesas de trabajo con comerciantes, para obtener información que permite la desestructuración de organizaciones dedicadas al hurto a personas.","Alcalde, secretaría de Gobierno, Policía Nacional,  Inspección de Policía
* Seccional de Fiscalía, SIJIN y UBIC",
Hurto a personas,Prevenir y reducir los hurtos a personas en el municipio,Fortalecimiento comunitario,,Involucrar a la comunidad en la prevención de comportamientos delictivos,"# de actividades realizadas.

# de canales de comunicación fortalecidos",,"* Fortalecimiento de los canales de comunicación entre el gobierno municipal, las estaciones y subestaciones de Policía y la comunidad.

*Realización de actividades con la comunidad, par la rendición de cuentas y la promoción de la participación en temas de seguridad.

* Campañas pedagógicas ","Alcalde, Secretaría de Gobierno. Policía Nacional",
Hurto a personas,Prevenir y reducir los hurtos a personas en el municipio,Control,,Promover la metodología  del  Modelo Nacional de Vigilancia Comunitaria por Cuadrantes,"Reducción de tiempos de respuesta de la atención de la Policía Nacional.

Recursos y medios optimizados o adquiridos para el mejoramiento en la implementación del Modelo.

# de patrullajes y visitas realizadas por la Policía Nacional a zonas rurales del municipio.",,"*Coordinar con la Policía Nacional, en el marco del Consejo municipal de Seguridad y Convivencia, las actividades de presentación de los policías del cuadrante con la comunidad, con el fin de generar cercanía entre la institución y la ciudadanía.

*Mejorar las capacidades técnicas y tecnológicas de los cuadrantes de Policía

*Coordinar con la Policía Nacional el patrullaje en zonas rurales, veredas y corregimientos, con el fin de acercar el servicio de Policía a comunidades rurales.

*Garantizar los principios de complementariedad y polifuncionalidad del MNVCC, mediante la capacitación permanente de los uniformados y el liderazgo constante del gobierno municipal.

*Identificar, junto con la Policía Nacional, las necesidades existentes para la implementación del modelo, y suplirlas con los recursos disponibles","Alcalde, Secretaría de Gobierno, Policía Nacional",
Hurto a personas,Prevenir y reducir los hurtos a personas en el municipio,Sanción y judicialización,,Fortalecer las capacidades de inteligencia e investigación criminal con las que cuenta el municipio.,"# de recursos optimizados o adquiridos para el mejoramiento de los procesos técnicos.

# de estrategias construidas para la desarticulación de bandas dedicadas al hurto.",,"*Identificar las necesidades que tiene el municipio en materia de investigación criminal e inteligencia para la desarticulación de bandas delincuenciales y la judicialización de sus comportamientos, en coordinación con la Policía Nacional y la seccional de Fiscalía.

*Invertir recursos necesarios para superar las brechas existentes.

*Coordinar, en el marco del Consejo municipal de Seguridad y Convivencia, la gestión de la información de las bases de datos con las que cuente el municipio, bajo el liderazgo de la alcaldía municipal.

*Construir una estrategia conjunta con la Policía Nacional y la Fiscalía para optimizar los servicios de inteligencia e investigación criminal correspondientes a las necesidades del municipio, desde el Consejo municipal de Seguridad y Convivencia. Así mismo, gestionar desde este escenario la presencia de las Unidades Básicas y las Seccionales de Policía y Fiscalía.

*Coordinar con municipios circunvecinos y la gobernación del departamento, estrategias para la desarticulación de bandas delincuenciales dedicadas al hurto en todas sus modalidades.","* Secretaría de Gobierno
Alcalde, Policía Nacional
Seccional de Fiscalía
*Unidades Básicas y Seccionales de Policía",
Hurto a personas,Prevenir y reducir los hurtos a personas en el municipio,Sanción y judicialización,,Fomentar la denuncia del delito,#de estrategias comunicativas implementadas,,"* Construir una estrategia comunicativa para el fomento de la denuncia por los distintos canales establecidos, en zonas urbanas y rurales.

*Implementar casas de justicia móviles, que lleguen a veredas de manera itinerante, de manera que la ciudadanía rural pueda denunciar fácilmente.

*Facilitar el acceso a la denuncia.","Alcalde, Secretaría de Gobierno",
Hurto a residencias,Prevenir y reducir los hurtos a residencias en el municipio,Prevención situacional,,Sensibilizar a la ciudadanía acerca de buenos hábitos para evitar ser víctima de hurto a residencias.,"# de personas capacitadas

# de estrategias comunicativas implementadas.",,"*Capacitar a propietarios de residencias, juntas de acción comunal y consejos de administración de conjuntos residenciales en las modalidades de hurto a residencias existentes.

*Diseñar e implementar estrategias de comunicación para la generación de buenos hábitos de protección de la vivienda.","Alcalde, Secretaría de Gobierno",
Hurto a residencias,Prevenir y reducir los hurtos a residencias en el municipio,Control,,"Mejorar la comunicación entre líderes comunitarios, representantes de conjuntos residenciales y la Policía Nacional,.","# de alarmas comunitarias instaladas

# de reuniones adelantadas entre la Policía Nacional y la comunidad.

# de frentes de seguridad creados.

",,"*Instalación de alarmas comunitarias.

*Presentación a la comunidad de los policías del cuadrante.

*Creación de frentes de seguridad en los barrios y en viviendas con régimen de propiedad horizontal.

*Incrementar los canales de comunicación entre la Policía Nacional y la vigilancia privada.","Alcalde,  Secretaría de Gobierno, Policía Nacional",
Hurto a residencias,Prevenir y reducir los hurtos a residencias en el municipio,Control,,Mejorar la capacidad de respuesta de la Policía Nacional,"Reducción de tiempos de respuesta de la atención de la Policía Nacional.
",,"* Identificar las necesidades de medios logísticos, de transporte y tecnológicos, del personal de la Policía Nacional presente en el municipio.

* Adquirir los medios posibles para fortalecer la capacidad de respuesta de la Policía Nacional.

* Destinar los recursos necesarios para el mantenimiento de los medios existentes.

* Realizar, en el marco del Consejo municipal de Seguridad y Convivencia, control y seguimiento a la inversión de los recursos orientados a la adquisición y mantenimiento de bienes de la Policía Nacional.

*Realizar, en el marco el Consejo municipal de Seguridad y Convivencia, un estudio de los tiempos de respuesta de la Policía Nacional ante los llamados de la comunidad.","Alcalde, Secretaría de Gobierno, Policía Nacional",
Hurto a residencias,Prevenir y reducir los hurtos a residencias en el municipio,Sanción y judicialización,,Fortalecer las capacidades de inteligencia e investigación criminal con las que cuenta el municipio.,"# de recursos optimizados o adquiridos para el mejoramiento de los procesos técnicos.

# de estrategias construidas para la desarticulación de bandas dedicadas al hurto.",,"*Identificar las necesidades que tiene el municipio en materia de investigación criminal e inteligencia para la desarticulación de bandas delincuenciales y la judicialización de sus comportamientos, en coordinación con la Policía Nacional y la seccional de Fiscalía.

*Invertir recursos necesarios para superar las brechas existentes.

*Coordinar, en el marco del Consejo municipal de Seguridad y Convivencia, la gestión de la información de las bases de datos con las que cuente el municipio, bajo el liderazgo de la alcaldía municipal.

*Construir una estrategia conjunta con la Policía Nacional y la Fiscalía para optimizar los servicios de inteligencia e investigación criminal correspondientes a las necesidades del municipio, desde el Consejo municipal de Seguridad y Convivencia. Así mismo, gestionar desde este escenario la presencia de las Unidades Básicas y las Seccionales de Policía y Fiscalía.

*Coordinar con municipios circunvecinos y la gobernación del departamento, estrategias para la desarticulación de bandas delincuenciales dedicadas al hurto en todas sus modalidades.","Alcalde,  Secretaría de Gobierno, Policía Nacional, Seccional de Fiscalía, Unidades Básicas y Seccionales de Policía",
Hurto a vehículos,Prevenir y reducir los hurtos a vehículos y motocicletas en el municipio.,Control,,"Identificación, caracterización y atención de puntos críticos de hurto en el municipio.","# de puntos críticos identificados, caracterizados y atendidos.",,"*En el marco del Consejo de Seguridad y Convivencia Municipal, coordinar con la Policía Nacional las siguientes acciones:

* Identificación: 

1. Recopilar y georreferenciar el comportamiento del hurto en los últimos cinco años, con datos provenientes de la Policía Nacional.
2. Adquirir un software de información geográfica, y con el, construir mapas de densidad o concentración del delito año por año, y superponerlos en un mapa del total de los cinco años.
3. Aquellas zonas donde a lo largo de esos años persiste el delito, son los puntos críticos municipales.

Caracterización:

1. A través de observación en terreno, entrevistas y grupos focales, caracterizar los puntos críticos identificados, con el fin de describir y comprender cuáles son las circunstancias físicas o sociales que contribuyen a la concentración del hurto en esos lugares.
2. Identificar cuáles son las características comunes de los puntos críticos, para entender sus dinámicas criminales y poder definir si dos o más puntos en realidad deben ser atendidos por una misma estrategia. Es decir, si en realidad se trata de un punto crítico en lugar de dos o tres.
3. Precisar los lugares donde se concentra el delito, y establecer con precisión las horas y los días donde más se presenta.

*Atención:

1. Concentrar las estrategias de prevención y control del hurto en los puntos identificados y caracterizados.
2. Disponer, junto con la policía, de presencia policial en los puntos críticos de manera constante.","Alcalde, Secretaría de Gobierno",
Hurto a vehículos,Prevenir y reducir los hurtos a vehículos y motocicletas en el municipio.,Prevención situacional,,Disuadir a posibles delincuentes de cometer hurtos.,# de cámaras instaladas y en funcionamiento,,"* Instalación de cámaras de video vigilancia en puntos estratégicos de concentración del hurto en el municipio, y definir con la Policía Nacional los mecanismos para su supervisión.

* Creación de frentes comunitarios de seguridad, con alarmas comunitarias.

* Optimizar los medios y canales de comunicación de las comunidades con la Policía Nacional. ","Alcalde, Secretaría de Gobierno, Policía Nacional",
Hurto a vehículos,Prevenir y reducir los hurtos a vehículos y motocicletas en el municipio.,Prevención situacional,,Promover la autoprotección de los habitantes del municipio.,# de campañas adelantadas.,,"* Realizar campañas comunicativas para que las personas adquieran hábitos de protección de sus vehículos en el espacio público.

* Capacitaciones a la ciudadanía sobre las modalidades de hurto existentes.

*Promover la marcación de piezas de motocicletas, con la respectiva placa.

*Promover el uso de parqueaderos o lugares autorizados para el estacionamiento de vehículos y motocicletas.","Alcalde, Secretaría de Gobierno, Policía Nacional.",
